Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness (CheckM1)	Contamination (CheckM1)	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	Completeness (CheckM2)	Contamination (CheckM2)	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Circular contigs	Circular bp	Circular fraction	mid_B011_final.fastq Relative Abundance (%)	mid_B011_final.fastq Covered Fraction	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.26	o__Clostridiales (UID1212)	172	263	149	28.9	0.0	0.0	790779	0	118	118	7862	7862	6701	6701	20809	20809	58.9	2.12	79.51	11	1212	174	89	0	0	0	0	21.52	0.39	Neural Network (Specific Model)	11	0.795	7862	174.503300330033	790779	0.59	1212	118	20809		0	0	0.0	0.48120233	0.9999962	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp003522105	GCA_003522105.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp003522105	96.15	0.776	GCA_003522105.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp003522105	96.15	0.776	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934561515.1, s__Hominicoprocola sp900556145, 95.0, 89.51, 0.553; GCA_934835795.1, s__Hominicoprocola sp934835795, 95.0, 89.46, 0.576; GCA_900546295.1, s__Hominicoprocola sp900546295, 95.0, 89.46, 0.502; GCA_020687125.1, s__Hominicoprocola fusiformis, 95.0, 89.15, 0.551; GCA_900763705.1, s__Hominicoprocola sp900763705, 95.0, 88.87, 0.445; GCA_900550165.1, s__Hominicoprocola sp900550165, 95.0, 87.83, 0.408; GCA_900552015.1, s__Hominicoprocola sp900552015, 95.0, 87.64, 0.433; GCA_937884915.1, s__Hominicoprocola sp937884915, 95.0, 87.39, 0.384; GCA_934636865.1, s__Hominicoprocola sp934636865, 95.0, 86.77, 0.419; GCA_934572445.1, s__Hominicoprocola sp934572445, 95.0, 85.49, 0.253; GCA_934572465.1, s__Hominicoprocola sp934572465, 95.0, 85.2, 0.316; GCA_934597535.1, s__Hominicoprocola sp934597535, 95.0, 84.94, 0.214; GCA_900768135.1, s__Hominicoprocola sp900768135, 95.0, 84.74, 0.28; GCA_002405995.1, s__Hominicoprocola sp002405995, 95.0, 84.64, 0.285	25.08	11.0		
bin.27	o__Clostridiales (UID1212)	172	263	149	25.48	1.34	0.0	967299	0	156	156	7393	7393	6200	6200	21436	21436	36.5	1.74	81.62	11	1421	176	84	3	0	0	0	28.45	2.33	Neural Network (Specific Model)	11	0.816	7393	186.73610133708652	967299	0.36	1421	156	21436		0	0	0.0	0.3385938	0.9999959	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	GCA_900112995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	97.81	0.76	GCA_900112995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	97.81	0.76	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009680455.1, s__Lachnospira eligens_A, 95.58, 91.13, 0.17; GCA_003464165.1, s__Lachnospira sp003451515, 95.0, 90.6, 0.194; GCF_000146185.1, s__Lachnospira eligens, 95.0, 90.54, 0.165; GCF_003458705.1, s__Lachnospira sp003537285, 95.31, 90.26, 0.156; GCA_030537195.1, s__Lachnospira sp030537195, 95.0, 87.82, 0.167	19.78	11.0		
bin.28_sub	k__Bacteria (UID203)	5449	104	58	32.76	5.17	66.67	1343594	0	187	187	9292	9292	7184	7184	32832	32832	59.4	2.11	81.74	11	1804	83	18	3	0	0	0	37.11	4.78	Neural Network (Specific Model)	11	0.817	9292	204.8569844789357	1343594	0.59	1804	187	32832		1	8643	0.006432746797023506	0.33485636	0.9999821	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000010425.1, s__Bifidobacterium adolescentis, 95.0, 94.6, 0.474; GCF_001025155.1, s__Bifidobacterium angulatum, 95.0, 93.6, 0.375; GCA_905207115.1, s__Bifidobacterium angulatum_A, 95.0, 93.47, 0.291; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 93.08, 0.295; GCF_959020145.1, s__Bifidobacterium sp959020145, 95.0, 90.61, 0.296; GCF_959028125.1, s__Bifidobacterium sp959028125, 95.0, 90.42, 0.303; GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 88.09, 0.33; GCF_012932675.1, s__Bifidobacterium sp012932675, 95.0, 86.71, 0.241; GCF_900129045.1, s__Bifidobacterium merycicum, 95.0, 84.8, 0.186; GCF_001025195.1, s__Bifidobacterium catenulatum, 97.02, 84.67, 0.164; GCF_019331805.1, s__Bifidobacterium pongonis, 95.0, 84.27, 0.179; GCF_002742445.1, s__Bifidobacterium sp002742445, 95.06, 84.25, 0.156; GCF_001042615.1, s__Bifidobacterium kashiwanohense, 95.06, 84.2, 0.178; GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 84.15, 0.171; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.0, 84.09, 0.159	23.18	11.0	0.97624	
bin.31	o__Clostridiales (UID1212)	172	261	147	86.76	9.61	69.23	2249953	0	174	174	17718	17718	12930	12930	72512	72512	59.0	2.17	83.54	11	2629	47	188	26	0	0	0	73.15	8.02	Gradient Boost (General Model)	11	0.835	17718	239.6766831494865	2249953	0.59	2629	174	72512		0	0	0.0	0.8664929	0.99998045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GCF_003324185.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	96.21	0.842	GCF_003324185.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	96.21	0.842	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 94.33, 0.788; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 94.19, 0.753; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 94.11, 0.659; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 94.08, 0.782; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 93.97, 0.666; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 93.88, 0.693; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 93.8, 0.697; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 93.8, 0.691; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 93.76, 0.696; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 93.62, 0.655; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 93.43, 0.703; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 93.41, 0.719; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 93.35, 0.704; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 93.29, 0.688; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 93.05, 0.644; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 91.75, 0.573; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 90.8, 0.488; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 88.87, 0.485; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 88.4, 0.552; GCF_023347255.1, s__Faecalibacterium prausnitzii_D, 95.0, 87.98, 0.468; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 87.51, 0.461; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.18, 0.441; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 87.14, 0.433; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 86.96, 0.347; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 86.85, 0.389; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 86.43, 0.398; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 86.33, 0.373; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 85.89, 0.372; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 85.81, 0.361; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 85.71, 0.35; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 85.7, 0.293; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 85.23, 0.353; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 84.89, 0.293; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 84.79, 0.308; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 84.72, 0.347; GCF_023347275.1, s__Faecalibacterium sp900758465, 95.0, 84.65, 0.285; GCF_020687245.1, s__Faecalibacterium longum, 95.0, 84.44, 0.282; GCA_937915335.1, s__Faecalibacterium sp937915335, 95.0, 84.37, 0.166; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 84.24, 0.264; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 84.06, 0.236; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 83.71, 0.256; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 83.66, 0.263; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 83.42, 0.248; GCA_934533135.1, s__Faecalibacterium sp934533135, 95.0, 82.87, 0.209; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 82.64, 0.205; GCA_934548045.1, s__Faecalibacterium sp934548045, 95.0, 81.58, 0.153	56.84	11.0		Genome has more than 13.3% of markers with multiple hits
bin.32_sub	k__Bacteria (UID203)	5449	103	57	34.21	0.0	0.0	966971	0	126	126	9124	9124	7674	7674	28366	28366	44.1	1.8	85.03	11	1368	81	22	0	0	0	0	28.94	0.18	Neural Network (Specific Model)	11	0.85	9124	202.12061403508773	966971	0.44	1368	126	28366		0	0	0.0	0.3212481	0.999999	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus_A	GCF_902381825.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus_A	97.39	0.869	GCF_902381825.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus_A	97.39	0.869	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019734885.1, s__Coprococcus_A catus, 95.0, 91.73, 0.549	21.57	11.0		
bin.35_sub	k__Bacteria (UID203)	5449	103	57	40.11	3.51	50.0	1406902	0	160	160	11203	11203	8793	8793	29809	29809	42.3	1.56	84.34	11	2121	74	27	2	0	0	0	43.61	0.92	Gradient Boost (General Model)	11	0.843	11203	188.35502121640732	1406902	0.42	2121	160	29809		0	0	0.0	0.43370596	0.9999936	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A amylophila	GCF_025567265.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A amylophila	97.69	0.885						d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_025567265.1, s__Dorea_A amylophila, 95.0, 97.69, 0.885; GCA_019421265.1, s__Dorea_A sp019421265, 95.0, 97.13, 0.319; GCA_934309195.1, s__Dorea_A sp934309195, 95.0, 94.73, 0.726; GCA_900550865.1, s__Dorea_A sp900550865, 95.0, 90.51, 0.531; GCF_025150085.1, s__Dorea_A longicatena, 95.0, 90.39, 0.56; GCA_934295165.1, s__Dorea_A sp934295165, 95.0, 87.04, 0.307; GCF_934294775.1, s__Dorea_A sp934294775, 95.0, 85.72, 0.286	28.6	11.0		
bin.37_sub	k__Bacteria (UID203)	5449	104	58	15.52	0.0	0.0	338271	0	69	69	5851	5851	4902	4902	13869	13869	62.2	2.05	79.34	11	539	92	12	0	0	0	0	9.67	0.0	Neural Network (Specific Model)	11	0.793	5851	167.8181818181818	338271	0.62	539	69	13869		0	0	0.0	0.47480324	0.999935	Unclassified Bacteria																		Insufficient number of amino acids in MSA (6.2%)
bin.38_sub	k__Bacteria (UID203)	5449	103	57	21.02	0.0	0.0	396519	0	67	67	7127	7127	5918	5918	17040	17040	53.8	2.31	81.42	11	618	84	19	0	0	0	0	11.79	0.03	Neural Network (Specific Model)	11	0.814	7127	175.39482200647248	396519	0.54	618	67	17040		0	0	0.0	0.3553213	0.9999773	Unclassified Bacteria																		Insufficient number of amino acids in MSA (9.5%)
bin.40	o__Clostridiales (UID1212)	172	263	149	78.87	0.89	50.0	2037663	0	164	164	18158	18158	12424	12424	76195	76195	53.3	2.29	86.62	11	2209	48	213	2	0	0	0	78.67	0.11	Gradient Boost (General Model)	11	0.866	18158	267.2114078768674	2037663	0.53	2209	164	76195		0	0	0.0	0.56607753	0.9999985	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	GCF_020687165.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	97.78	0.88	GCF_020687165.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	97.78	0.88	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934643185.1, s__Hominenteromicrobium sp934643185, 95.0, 94.3, 0.734	76.62	11.0		
bin.44_sub	f__Bifidobacteriaceae (UID1462)	65	476	217	55.18	5.03	23.53	1430595	0	171	171	10863	10863	8366	8366	31264	31264	63.2	1.49	82.14	11	1738	216	245	14	1	0	0	45.68	2.41	Neural Network (Specific Model)	11	0.821	10863	227.04372842347527	1430595	0.63	1738	171	31264		1	1880	0.0013141385227824786	0.38218778	0.9999203	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	GCF_001025135.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	98.34	0.835	GCF_001025135.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	98.34	0.835	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009193355.1, s__Bifidobacterium leontopitheci, 95.0, 83.74, 0.171	39.34	11.0		
bin.45	o__Clostridiales (UID1120)	304	250	143	79.47	1.79	33.33	1465567	0	7	7	334307	334307	209366	209366	442738	442738	27.9	1.23	88.1	11	1522	39	207	3	1	0	0	100.0	5.12	Gradient Boost (General Model)	11	0.881	334307	283.473061760841	1465567	0.28	1522	7	442738		1	7390	0.005042417030405297	1.3899088	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295	GCA_003534295.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295	98.16	0.818	GCA_003534295.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295	98.16	0.818	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 82.69, 0.275	88.4	11.0		
bin.47_sub	k__Bacteria (UID203)	5449	104	58	15.52	0.0	0.0	485459	0	72	72	8226	8226	6742	6742	25386	25386	57.9	2.08	82.15	11	708	95	9	0	0	0	0	12.68	0.0	Neural Network (Specific Model)	11	0.821	8226	189.5918079096045	485459	0.58	708	72	25386		0	0	0.0	0.36912122	0.9999918	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	GCA_000434635.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	96.76	0.817	GCA_000434635.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	96.76	0.817	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934569225.1, s__Faecousia sp934569225, 95.0, 92.9, 0.666; GCA_934572365.1, s__Faecousia sp934572365, 95.0, 91.83, 0.504; GCA_900546075.1, s__Faecousia sp900546075, 95.0, 91.6, 0.594; GCA_934569215.1, s__Faecousia sp934569215, 95.19, 90.93, 0.523; GCA_002436765.1, s__Faecousia sp002436765, 95.0, 90.68, 0.551; GCA_029100605.1, s__Faecousia sp029100605, 95.0, 83.29, 0.152	10.29	11.0		
bin.49_sub	k__Bacteria (UID203)	5449	104	58	1.72	0.0	0.0	871536	0	118	118	10175	10175	7385	7385	51085	51085	54.9	2.27	82.62	11	1246	102	2	0	0	0	0	15.3	1.1	Neural Network (Specific Model)	11	0.826	10175	194.45345104333867	871536	0.55	1246	118	51085		0	0	0.0	0.5844413	0.999969	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.7%)
bin.4_sub	k__Bacteria (UID203)	5449	104	58	5.17	0.0	0.0	1063215	0	176	176	7200	7200	6040	6040	25374	25374	38.0	1.97	79.94	11	1595	100	4	0	0	0	0	18.71	2.6	Neural Network (Specific Model)	11	0.799	7200	178.8846394984326	1063215	0.38	1595	176	25374		0	0	0.0	0.51103264	0.9999925	Unclassified Bacteria																		Insufficient number of amino acids in MSA (3.8%)
bin.50_sub	f__Lachnospiraceae (UID1286)	57	420	207	15.32	0.56	50.0	572549	0	105	105	6373	6373	5452	5452	19933	19933	38.1	1.68	76.2	11	844	342	76	2	0	0	0	14.1	0.02	Neural Network (Specific Model)	11	0.762	6373	173.9490521327014	572549	0.38	844	105	19933		0	0	0.0	0.3835143	0.9996577	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	GCF_000173975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	95.11	0.683						d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000173975.1, s__Anaerobutyricum hallii, 95.0, 95.11, 0.683; GCF_900209925.1, s__Anaerobutyricum soehngenii, 95.0, 92.75, 0.468; GCF_934307085.1, s__Anaerobutyricum sp934307085, 95.0, 88.37, 0.341; GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 84.79, 0.161	15.09	11.0		
bin.51_sub	k__Bacteria (UID203)	5449	104	58	17.16	0.0	0.0	860600	0	121	121	8686	8686	7112	7112	26552	26552	58.1	1.93	81.93	11	1199	84	20	0	0	0	0	19.12	0.35	Neural Network (Specific Model)	11	0.819	8686	198.27606338615516	860600	0.58	1199	121	26552		0	0	0.0	0.3124896	0.9999977	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.84	0.814	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.84	0.814	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		12.08	11.0		
bin.53	k__Bacteria (UID203)	5449	102	56	19.24	0.0	0.0	834698	0	151	151	6554	6554	5527	5527	22637	22637	61.3	2.51	79.49	11	1168	85	17	0	0	0	0	19.03	0.08	Neural Network (Specific Model)	11	0.795	6554	190.9666095890411	834698	0.61	1168	151	22637		0	0	0.0	0.47225407	0.99998325	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	95.68	0.782	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	95.68	0.782	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 89.28, 0.485; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 88.02, 0.33; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.77, 0.364; GCA_025758045.1, s__Gemmiger sp900539695, 95.0, 86.27, 0.271; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 86.23, 0.309; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 84.66, 0.228	14.3	11.0		
bin.59_sub	k__Archaea (UID2)	207	149	107	6.54	0.0	0.0	381493	0	74	74	5587	5587	5155	5155	21771	21771	28.8	1.89	84.41	11	584	141	8	0	0	0	0	12.35	0.07	Neural Network (Specific Model)	11	0.844	5587	185.2208904109589	381493	0.29	584	74	21771		0	0	0.0	0.2843075	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (9.7%)
bin.62_sub	root (UID1)	5656	56	24	4.17	0.0	0.0	600924	0	99	99	8371	8371	6069	6069	31974	31974	49.6	3.0	83.76	11	870	55	1	0	0	0	0	8.83	0.2	Neural Network (Specific Model)	11	0.837	8371	194.27241379310345	600924	0.5	870	99	31974		1	1436	0.002389653267301689	0.48724544	0.99950075	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.5%)
bin.63	k__Bacteria (UID2372)	131	177	106	82.08	2.07	62.5	1611951	0	197	197	10066	10066	8182	8182	41173	41173	34.3	1.45	89.45	11	1941	26	143	8	0	0	0	68.96	2.61	Neural Network (Specific Model)	11	0.894	10066	248.51159196290573	1611951	0.34	1941	197	41173		1	7014	0.004351248890319867	0.5015149	1.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	GCF_014306155.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	98.78	0.861	GCF_014306155.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	98.78	0.861	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009696075.1, s__Holdemanella porci, 95.95, 95.81, 0.741; GCF_024460475.1, s__Holdemanella sp900556915, 95.0, 95.48, 0.785; GCA_003436425.1, s__Holdemanella sp003436425, 95.0, 93.7, 0.748; GCF_934772795.1, s__Holdemanella sp934772795, 95.0, 92.44, 0.707; GCF_000156655.1, s__Holdemanella biformis, 95.0, 91.07, 0.648; GCA_938036765.1, s__Holdemanella sp900547815, 95.0, 90.36, 0.623; GCF_934754935.1, s__Holdemanella sp934754935, 95.0, 89.65, 0.638; GCF_003458715.1, s__Holdemanella sp003458715, 95.0, 89.04, 0.603; GCF_900754615.1, s__Holdemanella sp900754615, 95.0, 88.77, 0.555	76.54	11.0		
bin.65_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	155172	0	17	17	11122	11122	9127	9127	24380	24380	38.6	1.51	74.95	11	213	56	0	0	0	0	0	4.3	0.0	Neural Network (Specific Model)	11	0.749	11122	183.09859154929575	155172	0.39	213	17	24380		0	0	0.0	0.37907478	1.0	Unclassified																		No bacterial or archaeal marker
bin.66_sub	root (UID1)	5656	56	24	4.17	0.0	0.0	149350	0	27	27	6738	6738	5531	5531	15740	15740	34.3	1.25	81.25	11	220	55	1	0	0	0	0	4.8	0.0	Neural Network (Specific Model)	11	0.812	6738	185.52727272727276	149350	0.34	220	27	15740		0	0	0.0	0.31130096	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (0.7%)
